All,Kaikki
"An item option with code %1 already exists.","Nimikkeen vaihtoehto koodilla %1 on jo olemassa."
New,Uusi
"Please enter the first name.","Kirjoita etunimesi."
"Please enter the last name.","Syötä sukunimi."
"-- All --",--Kaikki--
Owner,Omistaja
"Created on",Luotu
"Attribute Group",Attribuuttiryhmä
"Qty Fulfilled","Täytetty määrä"
"Created On",Luotu
Share,Jaa
Sender,Lähettäjä
Type:,Tyyppi:
"Privacy Settings",Yksityisyysasetukset
"Required Fields","Pakolliset kentät"
"Search Results",Hakutulokset
Location,Sijainti
"Search By",Etsi
"Unit Price",Yksikköhinta
"Created For:","Luotu varten:"
"Recipient Address","Vastaanottajan osoite"
"General Options","Yleiset asetukset"
"Gift Wrapping",Lahjapaketointi
"Add Gift Wrapping","Lisää lahjan paketointi"
"Are you sure you want to delete this gift wrapping?","Oletko varma, että haluat poistaa tämän lahjapakkauksen?"
"You updated a total of %1 records.","Yhteensä %1 merkintää päivitetty."
"You have not uploaded the image.","Kuvaa ei ole lähetetty."
"Excluding Tax","Ilman veroja"
"Including Tax",Verollinen
"Price Excl. Tax","Veroton hinta"
"Price Incl. Tax","Verollinen hinta"
"No image","Ei kuvaa"
Constant,Jatkuva
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Konversion ID ""%1"" ei ole kelvollinen. ID:n tulisi olla kokonaisluku."
"Google API",Google-API
"Anonymize IP","Anonymisoi IP-osoite"
"Product View Optimization","Tuotenäkymän optimointi"
"Page View Optimization","Sivunäkymän optimointi"
"Data key is missing: %1","Data-avain puuttuu: %1"
"Google Analytics Content Experiments Code","Google Analyticsin sisältökokeilukoodi"
"Category View Optimization","Kategorianäkymän optimointi"
"Send to Google","Lähetä Googleen"
"Account type","Tilin tyyppi"
"Grouped Products",Ryhmätuotteet
"Please specify the quantity of product(s).","Määritä tuotteiden määrä."
"Cannot process the item.","Kohdetta ei voida käsitellä."
"Add Products to Group","Tuotteiden lisääminen ryhmään"
"Default Qty",Oletusmäärä
"Starting at",Alkaen
"Export Settings",Vientiasetukset
"Entity Type","Entiteetin tyyppi"
"Export File Format","Viennin tiedostomuoto"
Filter,Suodin
"Import Settings",Tuontiasetukset
"Field separator",Kenttäerotin
"File to Import","Tuotava tiedosto"
"Select File to Import","Valitse tuotava tiedosto"
"File %1 deleted","Tiedosto %1 poistettu"
Import/Export,Tuo/Vie
"Import History",Tuontihistoria
"Import history",Tuontihistoria
"Download full report","Lataa koko raportti"
"Import successfully done","Tuonti suoritettu onnistuneesti"
"Show more","Näytä lisää"
"in row(s):",Riv(e)illä:
"in row(s)",riv(e)illä
Add/Update,Lisää/päivitä
Replace,Korvaa
User,Käyttäjä
"Indexer Management","Indeksointitoiminnon hallinta"
"Update by Schedule","Päivitetään ajastetusti"
"Update on Save","Päivitä tallentaessa"
"Reindex required","Tarvitaan uudelleenindeksointi"
Ready,Valmis
Processing,Käsitellään
"Index Management","Indeksien hallinta"
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Vähintään yksi <a href=""%1"">indeksoija on mitätöity</a>. Varmista että <a href=""%2"" target=""_blank"">Magento ajastettu tehtävä</a> suoritetaan."
"Field '%1' not found","Kenttää '%1' ei löydy"
Indexer,Indeksoija
Mode,Tila
"Cheapest price","Halvin hinta"
"Shipping Method",Toimitustapa
"Button Text","Painikkeen teksti"
Integrations,Integraatiot
"Add New Integration","Lisää uusi integraatio"
"Save & Activate","Tallenna & aktivoi"
"New Integration","Uusi integraatio"
"Consumer Key",Kuluttaja-avain
Activate,Aktivoi
Reauthorize,"Valtuuta uudelleen"
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Yksi tai useampi <a href=""%1"">integraatio</a> on nollattu niiden xml-konfiguraatioihin tehtyjen muutosten takia."
"Resource Access","Pääsy resurssiin"
Resources,Resurssit
Extensions,Laajennukset
Invitations,Kutsut
"Add Invitations","Lisää kutsuja"
"New Invitations","Uudet kutsut"
"Invitations Information","Kutsujen tiedot"
"Enter Each Email on New Line","Syötä jokainen sähköposti uudelle riville"
"Save Invitation","Tallenna kutsu"
"Send Invitation","Lähetä kutsu"
"We sent %1 invitation(s).","%1 kutsu(a) lähetettiin."
Accepted,Hyväksytty
"Invitation Message",Kutsuviesti
Link,Linkki
"Filterable (with results)","Suodatettava (tuloksin)"
"Filterable (no results)","Suodatettava (ei tuloksia)"
"Use in Layered Navigation","Käytä kerroksittaisessa navigoinnissa"
"Position of attribute in layered navigation block.","Ominaisuuden sijainti kerroksittaisen navigaation lohkossa."
item,tuote
items,tuotteet
"Now Shopping by","Näytetään valintojen mukaan"
"Admin Actions Log Archive","Pääkäyttäjän toimintojen lokiarkisto"
"Log Entry #%1","Lokimerkintä #%1"
"Log Entry Details","Lokimerkinnän tiedot"
"Source Data",Lähdetiedot
"Value Before Change","Arvo ennen muutosta"
"No changes","Ei muutoksia"
"The item was deleted","Kohde poistettiin"
"All Users","Kaikki käyttäjät"
"Admin Actions Log","Pääkäyttäjän toimintojen loki"
"Currency Rates Saved","Valuuttakurssit tallennettu"
"Cache types: %1 ","Välimuistin tyypit: %1 "
"Tax Rates Export","Verokantojen vienti"
Success,Onnistui
IP-Address,IP-osoite
"Error Message",Virhesanoma
Archive,Arkisto
"Mass Update",Massapäivitys
Move,Siirrä
"Forgot Password","Salasana unohtunut"
Reorder,"Tilaa uudelleen"
Print,Tulosta
Run,Suorita
Flush,Tyhjennä
Fetch,Hae
Send,Lähetä
Create,Luo
"URL Rewrites",URL-uudelleenohjaukset
"Catalog Attributes","Tuoteluettelon attribuutit"
"Cart Price Rules","Ostoskorin hintasäännöt"
"Newsletter Queue",Uutiskirjejono
"Newsletter Templates","Uutiskirjeiden mallipohjat"
"Newsletter Subscribers","Uutiskirjeen tilaajat"
"Sales Orders",Myyntitilaukset
"Sales Invoices",Myyntilaskut
"Sales Credit Memos","Myynnin hyvityslaskut"
"Manage Store Views","Hallinnoi kauppanäkymiä"
"Manage Design","Ulkoasun hallinta"
"Custom Variables","Muokatut muuttujat"
"Customer Tax Classes","Asiakkaan veroluokat"
"Tax Rules",Verosäännöt
"Tax Rates",Veroprosentit
"XML Sitemap",XML-sivukartta
"PayPal Settlement Reports","PayPal-maksujen raportit"
"IP Address",IP-osoite
Result,Tulos
"Full Details","Täydet tiedot"
Partners,Yhteistyökumppanit
"Platinum Partners",Platinum-kumppanit
"Visit Magento Marketplaces","Vieraile kohteessa Magento Marketplaces"
"Read More","Lue lisää"
Synchronize,Synkronoi
"Synchronizing %1 to %2","Synkronoidaan %1 %2"
Synchronizing...,Synkronoidaan...
"The timeout limit for response from synchronize process was reached.","Aikakatkaisuraja synkronointiprosessin vastaukselle on saavutettu."
"File %1 is not readable","Tiedosto %1 ei ole luettavissa"
"database ""%1""","tietokanta ""%1"""
"File system",Tiedostojärjestelmä
"Unable to save file: %1","Tiedostoa ei voi tallentaa: %1"
"Some exception","Jokin poikkeus"
"To see product price, add this item to your cart. You can always remove it later.","Nähdäksesi tuotteen hinnan, lisää tuote ostoskoriin. Voit aina poistaa sen myöhemmin."
"In Cart",Ostoskorissa
"Before Order Confirmation","Ennen tilauksen vahvistusta"
"Order total will be displayed before you submit the order","Tilauksen loppusumma näytetään ennen kuin lähetät tilauksen"
"Actual Price","Todellinen hinta"
"Default ""What's This"" Text Message","”Mikä on tämä”-oletusviesti"
Wishlist,Toivelista
"My Wish Lists","Omat toivelistat"
"1 item in wish list","1 tuote toivelistalla"
"%1 items in wish list","%1 tuotetta toivelistalla"
"Wish list ""%1"" was saved.","Toivelista ""%1"" on tallennettu."
"Wish List ""%1"" has been deleted.","Toivelista ""%1"" on poistettu."
"Product(s) %1 have required options. Each product can only be added individually.","Tuotteella/tuotteilla %1 on pakollisia valintoja. Kukin tuote voidaan lisätä vain yksitellen."
"%1 product(s) have been added to shopping cart: %2.","%1 tuotetta on lisätty ostoskoriin: %2."
"We could not perform the search.","Hakua ei voitu suorittaa."
"Owner Name","Omistajan nimi"
"Owner Email","Omistajan sähköpostiosoite"
"%1's Wish List","Käyttäjän %1 toivelista"
"Sign in to edit wish lists.","Kirjaudu sisään muokataksesi toivelistoja."
"Only %1 wish list(s) can be created.","Vain %1 toivelista(a) voidaan luoda."
"Wish list ""%1"" already exists.","Toivelista ""%1"" on jo olemassa."
"Unknown Magento error","Tuntematon Magenton virhe"
"All Wish Lists","Kaikki toivelistat"
"Add To Order","Lisää tilaukseen"
"No items","Ei kohteita"
"Delete Wish List","Poista toivelista"
"Create New Wish List","Luo uusi toivelista"
"Copy to Wish List","Kopioi toivelistaan"
"Wish List Name","Toivelistan nimi"
"Edit Wish List","Muokkaa toivelistaa"
"Public Wish List","Julkinen toivelista"
"Private Wish List","Yksityinen toivelista"
"Move Selected to Wish List","Siirrä valitut toivelistaan"
"Copy Selected to Wish List","Kopioi valitut toivelistaan"
"Wish Lists",Toivelistat
"My Wish Lists Link","Toivelistan linkki"
"Product Info",Tuotetiedot
"Ship to Multiple Addresses","Toimitus useampaan osoitteeseen"
"Billing Information - %1","Laskutustiedot - %1"
"Review Order - %1","Tarkista tilaus - %1"
"Edit Billing Address","Muokkaa laskutusosoitetta"
"Edit Shipping Address","Muokkaa toimitusosoitetta"
"Create Billing Address","Luo laskutusosoite"
"Create Shipping Address","Luo toimitusosoite"
"Please agree to all Terms and Conditions before placing the order.","Kaikki ehdot tulee hyväksyä ennen tilauksen tekemistä."
"Select Addresses","Valitse osoitteet"
"Shipping Information",Toimitustiedot
"Billing Information",Laskutustiedot
"Order Success","Tilaus onnistui"
"Select Address","Valitse osoite"
"Back to Billing Information","Takaisin laskutustietoihin"
"Go to Shipping Information","Tarkastele toimitustietoja"
"Update Qty &amp; Addresses","Päivitä määrä ja osoitteet"
"Enter a New Address","Kirjoita uusi osoite"
"Back to Shopping Cart","Takaisin ostoskoriin"
"Back to Shipping Information","Takaisin toimitustietoihin"
"Edit Items","Muokkaa tuotteita"
"Check Out with Multiple Addresses","Siirry kassalle käyttäen useita toimitusosoitteita"
Address,Osoite
"Order Review","Tilauksen katselma"
"Grand Total:",Loppusumma:
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Ship to:",Toimitusosoite:
Error:,Virhe:
"Sorry, no quotes are available for this order right now.","Valitettavasti toimituskuluja ei voida laskea tälle tilaukselle toistaiseksi."
"Continue to Billing Information","Jatka laskutustietoihin"
"Allow Shipping to Multiple Addresses","Salli toimitus useaan osoitteeseen"
"Review Order","Tarkastele tilausta"
"Select Shipping Method","Valitse toimitustapa"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","Kaikki ajat ovat minuutteina. Käytä ""0"", jos haluat ohittaa automaattisen tyhjennyksen."
"Retry Messages In Progress After","Yritä keskeneräisiä viestejä jälkeen"
"Subtotal (Incl. Tax)","Välisumma (verollinen)"
"Subtotal (Excl. Tax)","Välisumma (veroton)"
"Shipping & Handling","Toimitus- ja käsittelykulut"
Qty:,Määrä:
"Qty: ","Määrä: "
"Estimated Tax","Arvioitu vero"
"Something went wrong","Jotain meni pieleen"
"%1 - deleted","%1 - poistettu"
Expires,Vanhentuu
Seller,Myyjä
Cost,Kustannushinta
"Click to change shipping method","Klikkaa vaihtaaksesi toimitustapaa"
"Shipping address",Toimitusosoite
Merge,Yhdistä
Created:,Luotu:
"No shipping information available","Lähetystietoja ei ole saatavilla"
"Thank you,","Kiittäen,"
"Cancel coupon","Peruuta alennuskoodi"
"Allowed file formats: %1.","Sallitut tiedostomuodot: %1."
"Go to Checkout","Siirry kassalle"
"The shopping cart isn't empty","Ostoskori ei ole tyhjä"
"Go to Checkout?","Siirry kassalle?"
"Minimum Amount",Vähimmäismäärä
"New Relic Reporting Section","New Relic -raporttiosio"
"New Relic Reporting","New Relic -raportointi"
"Enable Cron","Ota Cron käyttöön"
"Delete Selected Problems","Poista valitut ongelmat"
"Unsubscribe Selected","Peruuta valittujen tilaus"
"Save Newsletter","Tallenna uutiskirje"
"Save and Resume","Tallenna ja jatka"
"View Newsletter","Tarkastele uutiskirjettä"
"Edit Newsletter","Muokkaa uutiskirjettä"
"Queue Information","Lähetysjonon tiedot"
"Queue Date Start","Lähetysjonon aloituspäivämäärä"
"Subscribers From",Tilaajat
"Newsletter Styles","Uutiskirjeiden tyylit"
Pause,Pysäytä
"Do you really want to cancel the queue?","Haluatko varmasti peruuttaa lähetysjonon?"
Resume,Jatka
"Return HTML Version","Palauta HTML-versio"
"Save As","Tallenna nimellä"
"Edit Newsletter Template","Muokkaa uutiskirjeen mallipohjaa"
"New Newsletter Template","Uusi uutiskirjemalli"
"Queue Newsletter","Laita uutiskirje jonoon"
"We unsubscribed the people you identified.","Valitsemiesi asiakkaiden tilaus on peruttu."
"The problems you identified have been deleted.","Tunnistamasi ongelmat on poistettu."
"Newsletter Problems Report","Uutiskirjeen virheraportti"
"Newsletter Problem Reports","Uutiskirjeen virheraportit"
"Edit Queue","Muokkaa jonoa"
"Please correct the newsletter template and try again.","Korjaa uutiskirjeen mallipohja ja yritä uudelleen."
"You saved the newsletter queue.","Uutiskirjeen lähetysjono tallennettu."
Subscribers,Tilaajat
"Please select one or more subscribers.","Valitse yksi tai useampia tilaaja."
"Total of %1 record(s) were deleted.","Yhteensä %1 tietuetta päivitettiin."
"The newsletter template has been deleted.","Uutiskirjepohja on poistettu."
"Create Newsletter Template","Luo uutiskirjepohja"
"The newsletter template has been saved.","Uutiskirjepohja on tallennettu."
"Something went wrong while saving this template.","Pohjaa tallennettaessa tapahtui virhe."
"Something went wrong while saving your subscription.","Tilauksesi tallennuksessa tapahtui virhe."
"A confirmation request has been sent.","Vahvistuspyyntö on lähetetty."
"Your subscription has been confirmed.","Tilauksesi on vahvistettu."
"This is an invalid subscription confirmation code.","Virheellinen tilauksen vahvistuskoodi."
"This is an invalid subscription ID.","Virheellinen tilaustunnus."
"This email address is already assigned to another user.","Antamasi sähköpostiosoite on jo käytössä."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Uutiskirjeen tilaus vaatii kirjautumisen. Ole hyvä ja <a href=""%1"">rekisteröidy käyttäjäksi</a>."
